Date,PE_CAPE
1960.01,18.33828499
1960.02,17.54527511
1960.03,17.28602072
1960.04,17.42976695
1960.05,17.25617058
1960.06,17.82336382
1960.07,17.37680647
1960.08,17.58211304
1960.09,17.05201547
1960.1,16.60510454
1960.11,17.14608845
1960.12,17.56209083
1961.01,18.47041699
1961.02,19.2340145
1961.03,19.84422527
1961.04,20.38284298
1961.05,20.59860684
1961.06,20.33241455
1961.07,20.14664374
1961.08,20.94168848
1961.09,20.70524304
1961.1,20.92419014
1961.11,21.85795772
1961.12,22.0414802
1962.01,21.1979314
1962.02,21.45168775
1962.03,21.44315857
1962.04,20.65833645
1962.05,19.0893675
1962.06,16.82757124
1962.07,17.14132566
1962.08,17.57126263
1962.09,17.32146115
1962.1,16.73982097
1962.11,17.85438649
1962.12,18.58583612
1963.01,19.25923169
1963.02,19.46919131
1963.03,19.28806461
1963.04,20.15007724
1963.05,20.50758586
1963.06,20.38414999
1963.07,19.96923189
1963.08,20.4726379
1963.09,20.96036009
1963.1,20.8913446
1963.11,20.72039934
1963.12,21.03859938
1964.01,21.6272162
1964.02,21.83267083
1964.03,22.16724559
1964.04,22.42219217
1964.05,22.57433077
1964.06,22.30028804
1964.07,22.98435185
1964.08,22.65040729
1964.09,22.89222198
1964.1,23.21215468
1964.11,23.22501979
1964.12,22.75298477
1965.01,23.26933508
1965.02,23.37206827
1965.03,23.2535282
1965.04,23.42055195
1965.05,23.70880831
1965.06,22.38534299
1965.07,22.30078171
1965.08,22.66597185
1965.09,23.37414683
1965.1,23.77574552
1965.11,23.92546116
1965.12,23.69411155
1966.01,24.05848339
1966.02,23.70002715
1966.03,22.61111258
1966.04,23.11369646
1966.05,21.85217798
1966.06,21.55525338
1966.07,21.38170201
1966.08,19.91390386
1966.09,19.16167625
1966.1,18.82540937
1966.11,19.71125121
1966.12,19.73647375
1967.01,20.43224213
1967.02,21.07444316
1967.03,21.4438986
1967.04,21.68602557
1967.05,21.94847739
1967.06,21.55209761
1967.07,21.80419625
1967.08,22.03062705
1967.09,22.21914549
1967.1,22.06819919
1967.11,21.26310297
1967.12,21.75159781
1968.01,21.5115359
1968.02,20.42499238
1968.03,19.93471131
1968.04,21.27735602
1968.05,21.63022714
1968.06,22.00462343
1968.07,21.75353742
1968.08,21.13776679
1968.09,21.68027563
1968.1,22.00460693
1968.11,22.19552923
1968.12,22.277873
1969.01,21.19496807
1969.02,20.8957299
1969.03,20.20228762
